title;name;location;requirements;language_req;sector;salary
Villamosmérnök - energetikus;OPUS TITÁSZ Zrt.;Budapest, Szolnok, Nyíregyháza, Debrecen, vagy Miskolc;villamosmérnök végzettség (elsõsorban erõsáramú vagy energetikai szakirány)„B” kategóriás jogosítványAktív angol nyelvtudás (szakirodalom olvasása, értelmezése)Magas szintû számítógép-kezelõi ismeretekHatékony együttmûködés a kollégáinkkal a szakterületen belül és kívül egyarántÖnálló munkavégzés, jó problémamegoldó készségFolyamatos fejlõdési igényPályakezdõk jelentkezés is várjuk MSC diplomával.;Angol középfok;Mérnök;
Szenior energetikai szakértõ;OPUS TITÁSZ Zrt.;Budapest, Szolnok, Nyíregyháza, Debrecen, vagy Miskolc;Villamosmérnök/energetikai mérnök/gépészmérnök felsõfokú végzettségLegalább 3 év hasonló munkakörben szerzett tapasztalatVillamos-energia rendszer, piaci viszonyok, árképzési rendszerek ismereteVillamosenergia vagy gázhálózati vagy távhõ-/gõzrendszerek mûködésével és mûködtetésével kapcsolatos ismeretekMagas szintû számítógép-kezelõi ismeretekAktív angol nyelvtudás (szakirodalom olvasása, értelmezése)Folyamatos fejlõdési igény„B” kategóriás gépjármûvezetõi engedély;Angol középfok;Mérnök;
IT szolgáltatások szakértõ;OPUS TITÁSZ Zrt.;Országosan bárhonnan végezhetõ;Felsõfokú egyetemi/fõiskolai végzettség (IT rendszerszervezõ / gazdasági informatikus)legalább 1 év releváns szakmai tapasztalatITIL ismeretMicrosoft és/vagy Linux operációs rendszerek és alkalmazások, informatikai hálózatok és megoldások ismerete.B kategóriás jogosítványAngol nyelvtudás Pályakezdõk jelentkezését is várjuk!;Angol középfok;IT üzemeltetés;
Minõségellenõr (Kecskeméti szállással); ;Országosan bárhonnan végezhetõ, Egyéb külföld;Kecskeméti tartózkodás - ingyenesen biztosított szállásainkon több mûszakos munkarend vállalásaUTAZÁSI HAJLANDÓSÁGrugalmasságszükséges a jó kézügyesség és megfigyelõképességprecíz, megbízható, felelõsségteljes munkavégzésnagyfokú mobilitásváltozatos munkakörülmények és feladatok vállalása - akár más- vagy új telephelyeken B kategóriás jogosítvány vezetõi gyakorlattal;Nem igényel nyelvtudást;Fizikai;
Gépkocsivezetõ;B & B Élelmiszeripari Kft.;4033 Debrecen;B kat. jogosítvány, legalább 5 éves vezetési gyakorlat, nemdohányzó.;Nem igényel nyelvtudást;Szakmunka;Nettó 250e - 280e Ft havi bér
Raktáros;SolarX Energy Solutions Kft.;4031 Debrecen, Vadvirág utca 15.;Legalább 1 év hasonló területen szerzett munkatapasztalat (raktári, árukezeléssel kapcsolatos munkatapasztalat)Érvényes targonca-vezetõ jogosítvány (magasemelésû targonca)Nagy teherbírás, terhelhetõségFelhasználói szintû számítógép és szoftver ismeretPontos, precíz munkavégzés;Nem igényel nyelvtudást;Szakmunka;
Gépkezelõ;TEXOR Kft.;4002 Debrecen;Képzettség tekintetében nincs elõírás, de szakmai bizonyítvány megléte elõnyt jelent.                A munkahelyre való bejárást a munkavállalónak kell megoldania, ennek a költségét jogszabálynak megfelelõ mértékben a munkaadó állja.;Nem igényel nyelvtudást;Fizikai;Nettó 220e - 240e Ft havi bér
Hegesztõ - Lakatos;Manz Hungary Kft;4031 Debrecen, Határ út 1.;Szakirányú végzettségLehetõleg acélszerkezet gyártásban szerzett 2–3 éves gyakorlat2 mûszakos munkarend vállalásaMûszaki rajz olvasási készségTûzvédelmi szakvizsgaPontosság, precizitásMinõségi munkavégzésLojalitás, megbízhatóság;Nem igényel nyelvtudást;Szakmunka;
CNC gépkezelõ;Manz Hungary Kft;4031 Debrecen, Határ út 1.;Gépi forgácsoló, CNC forgácsoló végzettségMegmunkáló gépen történõ programozás ismerete, vezérlõk ismeretNagyméretû alkatrészek, hegesztett szerkezet megmunkálása területén szerzett tapasztalat3 mûszakos munkarend vállalásaMinõségi munkavégzésRendszerszemléletCsapatmunkára való készségLojalitás, megbízhatóság;Nem igényel nyelvtudást;Szakmunka;
Gépkocsivezetõ (Budapest térségében);Berkó & Berkó Speciál Transport Kft.;Országosan bárhonnan végezhetõ;"„B” /""C"" / ""E"" kategóriás jogosítványPÁV vizsgaDigitális gépjármûvezetõ kártyaGKI kártyaPontos, precíz munkavégzés.Csapatjátékos hozzáállás.Önmagára, az autóra és a munkájára igényes.Minimum 2-3 éves szakmai tapasztalat.Hosszú és széles rakományok szállításában szerzett tapasztalat.";Nem igényel nyelvtudást;Szakmunka;
Mosodai elõkészítõ;MÁRVÁNY Farmerkoptató Betéti Társaság;4002 Debrecen;igényes, precíz munkavégzés;Nem igényel nyelvtudást;Fizikai;
Napelem telepítõ;ELECTROCOOL MAGYARORSZÁG Kft.;Rugalmas munkavégzési hely - Hajdú-Bihar megye;Igényes, önálló munkavégzésSzakmai tapasztalatNagyfokú munkabírásMagasfokú megbízhatóságCsapatmunkában való érvényesülés;Nem igényel nyelvtudást;Szakmunka;
CNC gépkezelõ (forgácsoló);EMD Endoszkóp Mûszer Gyártó és Kereskedelmi Kft.;4031 Debrecen, Bartók Béla út;forgácsoló végzettségprecíz, pontos, igényes munkavégzési készség,munkavégzéssel kapcsolatos alapdokumentálás (munkalapok, gyártmánykísérõk vezetése) következetes betartására és megtartására való képesség.;Nem igényel nyelvtudást;Fizikai;
Szakács;PALLAG SPÁJZ Kft;Pallag;középfokú végzettség, szakiskola, szakmunkásképzõelhivatottság a szakács szakma irányábaproblémamegoldó képességprecíz, pontos munkavégzéshajlandóság a további szakmai fejlõdésrelegyél jó csapatjátékosrugalmasság;Nem igényel nyelvtudást;Szakmunka;Nettó 250e - 300e Ft havi bér
Gondnok;EMD Endoszkóp Mûszer Gyártó és Kereskedelmi Kft.;4031 Debrecen, Bartók Béla út;A munkakör ellátásához szükséges, hogy rendelkezzen érvényes „B” kategóriájú vezetõi engedéllyel.Megváltozott munkaképességû személy jelentkezését is várjuk!Kérjük, hogy jelentkezésekor adjon meg elõzõ munkahelyérõl származó referenciát a véleményt adó személy elérhetõségével együtt!;Nem igényel nyelvtudást;Fizikai;
Targoncavezetõ és alapanyag elõkészítõ;R.R. Donnelley Magyarország Kft.;Debrecen;Középfokú végzettségLogisztikai és ipari környezetben szerzett tapasztalat elõny, de pályakezdõk jelentkezését is várjukÉrvényes jogosítvány elektromos targoncára, 3324-re legalább, illetve 3312 és 3313-as elõny (OKJ-s bizonyítvány elvárás)Felhasználói szintû számítógép ismeretStressztûrõ képességAlkalmazkodó képesség, csapatjátékosság, önállóságPontos, precíz munkavégzésProblémamegoldó képességMinõségi munkavégzés EGY CSAPAT – KÖZÖS CÉL;Nem igényel nyelvtudást;Szakmunka;
Felsõvezeték szerelõ;MÁV Zrt.;Ebes;alapfokú végzettség (8 általános)orvosi alkalmasságszabadban, nagyfeszültségû rendszerek környezetében végzett tevékenység vállalása A munkakör betöltésének feltétele, hogy a jelölt megszerezze a szükséges elméleti és gyakorlati ismereteket. A hatósági vizsgákat elsõ vizsgaalkalommal sikeresen teljesítõ munkavállalók akár bruttó 200 000 Ft egyszeri juttatásban részesülhetnek.;Nem igényel nyelvtudást;Szakmunka;
Mérnök gyakornok/villamosmérnök;MÁV Zrt.;Debrecen;felsõfokú szakirányú állami iskolai végzettség - villamosmérnök diplomaorvosi alkalmasság A hatósági vizsgákat elsõ vizsgaalkalommal sikeresen teljesítõ munkavállalók akár bruttó 90 000 Ft egyszeri juttatásban részesülhetnek.;Nem igényel nyelvtudást;Mérnök;
Biztosítóberendezési lakatos;MÁV Zrt.;Debrecen;középfokú szakirányú iskolai végzettség (hegesztõ, gépi forgácsoló, lakatos, épület és szerkezetlakatos)orvosi alkalmasságváltozó körülmények között végzett bel- és kültéri tevékenység vállalásaA munkakör betöltésének feltétele, hogy a jelölt megszerezze a szükséges elméleti és gyakorlati ismereteket. A hatósági vizsgákat elsõ vizsgaalkalommal sikeresen teljesítõ munkavállalók akár bruttó 40 000 Ft egyszeri juttatásban részesülhetnek.;Nem igényel nyelvtudást;Szakmunka;
Kábel és hálózatszerelõ;MÁV Zrt.;Debrecen;középfokú szakirányú állami iskolai végzettség - mûszerész vagy villanyszerelõ szakképesítéskábel- és hálózatszerelõ tanfolyam, melynek megszerzését a munkáltató biztosítjaorvosi alkalmasság;Nem igényel nyelvtudást;Szakmunka;
Pályakezdõ építõmérnök;MÁV Zrt.;Debrecen;rendelkezz építõmérnök/közlekedés építõmérnök/szerkezetépítõ mérnök diplomával (Bsc/Msc),a diplomád megszerzése óta még nem telt el két évanyanyelvi szintû magyar nyelvtudás (a munkavégzés magyar nyelven történik)sikeres kiválasztási folyamatorvosi alkalmasság Kérjük jelentkezésedhez magyar nyelvû önéletrajzot csatolj!;Magyar anyanyelvi szint;Mérnök;
Data manager (full remote | clinical field); ;Anywhere nationwide;BS/BA Degree in Life Sciences or related field preferredMinimum of 2 years Data Management or related experience preferably in a clinical research position. Strong client-facing skills/experience critical to this role. Formal project management experience strongly preferred.Strong knowledge of CDISC standards. Previous SAS or SQL exposure or experience strongly preferredCCDM certification very helpful/preferredStrong organizational, interpersonal, time-management, and problem-solving skillsAbility to manage multiple prioritiesStrong attention to detailProficient in Microsoft Office applicationsAbility to communicate effectively in EnglishLocal to Hungary;Angol felsõfok;IT Fejlesztés;
Gépkezelõ;Daniella Ipari Park Kft.;4211 Ebes;Több mûszakos munkarend vállalásaMegbízhatóság, pontosság, felelõsségtudatosságÖnálló munkavégzés, gyorsaság, tanulékonyságStressztûrésHosszútávú elkötelezõdés;Nem igényel nyelvtudást;Fizikai;Bruttó 250e Ft havi bér
Területi képviselõ;ABSOLUT CNC Kft.;Rugalmas munkavégzési hely - Békés megye, Borsod-Abaúj-Zemplén megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Nógrád megye, Szabolcs-Szatmár-Bereg megye;- értékesítõi területen szerzett gyakorlat- mûszaki tapasztalat- kezdeményezõ, kapcsolatteremtõ és jó kommunikációs készség- önálló, felelõsségteljes munkavégzés- ügyfélcentrikus gondolkodás- ápolt megjelenés, udvarias, barátságos fellépés- B kategóriás jogosítvány- MS office ismerete;Angol alapfok;Értékesítés;Nettó 250e Ft havi bér
Villamosmérnök-kereskedõ;MÉRKER 2007 Zrt.;4032 Debrecen, Böszörményi út 160.;Hasonló területen szerzett minimum 2 éves szakmai tapasztalatVillamosmérnök képzettségMinimum középfokú IT ismeretMobilitás, rugalmasság, kiváló kommunikációs készségB kategóriás jogosítvány vezetõi gyakorlattalAngol vagy német nyelv tudása;Angol középfok;Értékesítés;
Gépkezelõ; ;4024 Debrecen, Széchenyi utca 48.;Alapfokú számítástechnikai ismeretPontos, precíz, önálló munkavégzésKészség a változásraVevõorientáltságTöbb mûszakos munkarend vállalása;Nem igényel nyelvtudást;Fizikai;
Junior Értékesítõ;LEO-NOVA Kft.;4025 Debrecen Piac u. 49-51.;Diploma, de minimum érettségi. Belsõ motiváció, hogy segíts az embereknekSzámítógépes ismeretek,Szorgalom és kitartásMotivált hozzáállás;Nem igényel nyelvtudást;Értékesítés;
Projektvezetõ mérnök;Upright Masters Kft.;Országosan bárhonnan végezhetõ;Építõmérnöki vagy építészmérnöki végzettség.Tárgyalóképes angol nyelvtudásMunkáink Budapest III. kerületi központtal, országszerte folynak, így a munkavégzés helyével kapcsolatban rugalmasság, utazási hajlandóság szükséges.Megbízható, összeszedett, határozott kollégára van szükségünk, aki önállóan végzi a munkáját, keresi és megtalálja a megoldásokat.;Angol középfok;Építõipar;
Customer Support Representative – Italian speaking;Profession Services;Home Office;Networking Experience in IT, or other technical positionsPassion for problem-solving and contributing to team-based learning and solutionsMust be able to explain difficult concepts accurately and simply to customers both verbally and through digital correspondence in Italian AND English You’ll be working towards a shared goal with an open-minded and cohesive team greater than the sum of its parts. At our company, we’re passionate about growing a diverse and inclusive work ecosystem because unique takes make us a stronger company, and Stronger Together. We’re committed to creating an inclusive space for everyone, no matter what. That’s how we’ll Be Real, Think Big, Move Fast, and Keep Growing along the wayPlace of work: Remote;Angol felsõfok;Ügyfélszolgálat;
Területi képviselõ-üzletkötõ;Chili Produkt Kft.;Rugalmas munkavégzési hely - Borsod-Abaúj-Zemplén megye, Fejér megye, Gyõr-Moson-Sopron megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Komárom-Esztergom megye, Nógrád megye, Pest megye, Szabolcs-Szatmár-Bereg megye, Vas megye, Veszprém megye;- B2B kereskedelemben szerzett minimum 1 éves tapasztalat- legalább középfokú végzettség- kereskedelemben alkalmazott eszközök és technikák ismerete- rugalmasság, lelkiismeretesség, nyitottság, jó kommunikációs, szervezési és tárgyalási képesség, határozottság- önálló munka végzés és jó problémamegoldó képesség- érvényes B kategóriájú gépjármûvezetõi jogosítvány- a megadott régiók valamelyikében lévõ állandó lakhely- felhasználói szintû számítástechnikai ismeretek, MS Office használata;Nem igényel nyelvtudást;Értékesítés;Nettó 350e Ft havi bér
Fullstack Fejlesztõ - Projekt (KD); ;Otthonról végezhetõ;+6 év fejlesztési tapasztalatBackend technológia ismerete: PythonFrontend technológia ismerete: React (bármilyen Javascript keretrendszer ismerete jó lehet)Cloud computing tapasztalat (Elsõsorban Azure, de egyéb tapasztalat is megfelelõ)Agilis tapasztalatAngol: minimum B2 szint;Angol középfok;IT Fejlesztés;
Gyógymasszõr – Részmunkaidõben; ;Debrecen;Gyógymasszõri végzettségVonatkozó hatósági engedélyek megléteMinimum 2 éves szakmai tapasztalatFelhasználói szintû számítógépes ismeretek (MS Office)Ügyfélorientált attitûdJó kommunikációs készség;Nem igényel nyelvtudást;Szakmunka;
Romanian-speaking Customer Service Representative(s) for a Popular Video Streaming Service;Support Services Group Europe Zrt.;Anywhere nationwide;Have excellent communication skillsUtilize multiple systems while speaking with customersAt least C1 level (advanced) Romanian speaking skills plus B2 level (intermediate) in EnglishStay updated on new products, services, and policiesBoth EU and non-EU nationals are expected to be willing to acquire the necessary documents to work for a Hungarian employer.Experience in Customer Service is an advantage;Angol középfok;Ügyfélszolgálat;
Mûszaki elõkészítõ mérnök;POLYDUCT Nyrt.;Püspökladány;felsõfokú mûszaki végzettségajánlatkészítésben, utókalkulációk, gyártási tervek készítésében szerzett 1 éves tapasztalatmûszaki rajz értelmezésében és készítésében szerzett tapasztalatgyártási technológiák ismerete (hegesztés, élhajlítás, felületkezelés, lézer,  vízsugaras vágás)számítógépes ismeretek: Solid Edge használata;Nem igényel nyelvtudást;Mérnök;
Futár;AKROPOLISZ HUNGARY Kft.;Debrecen; ;Nem igényel nyelvtudást;Szakmunka;Bruttó 300e - 350e Ft havi bér
Senior Business Analyst/Product Owner - Projekt (KD); ;Otthonról végezhetõ;+5 év tapasztalat BA v PO v System Analyst szerepkörbenAgilis projektmûködés ismereteAngol: minimum B2 szint;Angol középfok; ;
PLC Fejlesztõ;evopro systems engineering Kft.;Országosan bárhonnan végezhetõ;"Felsõfokú szakirányú vagy más releváns végzettséggel rendelkezel;Rendelkezel PLC hardver (Siemens, elõny, ha Allen-Bradley vagy Beckhoff vagy Mitsubishi) és terepi eszköz-, illetõleg ipari kommunikációs ismeretekkel, alapvetõ hajtástechnikai-, biztonságtechnikai ismeretekkel;német vagy angol nyelvek egyikébõl legalább kommunikációképes (középfokú) nyelvtudásod van;min. 2 éves ipari tapasztalatod van PLC programozásban,utazási hajlandóságod van (belföldön),ismered és elfogadod az ilyen projektek ütemezésétképes vagy néhány ember irányítására,önállóság, megoldáskeresés és rugalmasság jellemez.";Angol középfok;Gyártás;
Kerékpáros kézbesítõ (Komádi); ;4138 Komádi, Fõ utca 37.;8 általános iskolai végzettségBejegyzésmentes erkölcsi bizonyítvány;Nem igényel nyelvtudást;Fizikai;
Szakács;Malom Hotel és Étterem Kft.;4027 Debrecen, Böszörményi út 1.;Minumum 5 év a'la carte étteremben szerzett munkatapasztalat. Igényesség a saját és a felügyelete alá tartozó kollégák munkája iránt. Fõbb feladatok:- a'la carte ételek elkészítése, díszítése, tálalása receptúrák alapján- segédszemélyzet munkájának összehangolása, irányítása- konyha, konyhai berendezések felügyelete és takarítása a biztonságos és higiénikus ételkezelési elõírások betartása érdekében;Nem igényel nyelvtudást;Szakmunka;Nettó 300e - 400e Ft havi bér
French speaking Customer Support Representative; ;Home Office;Ability to work Independently. Keep organised records.Identify and recommend opportunities to improve processes.Understand how to escalate urgent and time sensitive requests when needed. Strong Communication SkillsStrong listening skills.Good organizational skills.Pleasant and personable approach addressing customers and co-workers.Readiness to help others.Ability to build and maintain great relationships with Technical and Sales Teams.Providing technical recommendations to maximise new customer experience. Technical: Competent level of IT (Internet browsers, Excel, Microsoft Office, and mobile devices).Highly customer focused with a basic Automotive knowledge. Behavioral: Customer and Detail Focused mindset Work hard to ensure customer satisfaction. Recognizes customer needs. Willingness to accept and take ownership of customer issues. Excellent attention to detail processing orders  Tolerance of Ambiguity/Flexibility Accepts and thrives in an ever-changing environment.Works well with others.;Angol középfok;Ügyfélszolgálat;
Területi képviselõ; ;Hajdú-Bihar megye;Min. középfokú szakirányú végzettségHasonló munkakörben, az agrár szektorban szerzett, minimum 3 éves tapasztalatA növénytermesztési szektor mûködésének ismereteFelhasználói szintû számítástechnikai ismeretek (Excel, Word, PowerPoint) Magabiztos kommunikációs-, jó kapcsolatteremtõ- és kiváló tárgyalási készségKiváló kereskedelmi érzék és értékesítési attitûdÖnálló, proaktív, konstruktív munkavégzés és magas szintû tervezõ-és szervezõképességPrecizitás, jó problémamegoldó képességNagy munkabírás és stressz-tûrõ képességDinamikus, határozott, meggyõzõ fellépés, sikerorientált hozzáállás;Nem igényel nyelvtudást;Értékesítés; 
Üzemeltetõ mérnök;Oltóanyaggyár Zrt.;4032 Debrecen, Vezér út 37.;Villamosmérnöki és/vagy gépészmérnöki végzettségIpari/gyógyszeripari releváns környezetben szerzett tapasztalatMin. 3 éves tapasztalat üzemeltetési, karbantartási területenAnalitikus gondolkodásmódMûszaki diagnosztikai ismeretMS Office magas szintû felhasználói ismereteSzakmai felelõsségvállalás, megbízható, pontos munkavégzésProaktív hozzáállás, megoldásorientált szemléletKommunikációképes angol nyelvtudás írásban és szóban egyaránt.Csapatmunkára való nyitottság.;Nem igényel nyelvtudást;Mérnök;
Kazánkezelõ;Global Green Europe Kft.;Balmazújváros;Szakirányú végzettség - Kazánkezelõ (2-12 t/h között)Mûszakos munkarend vállalása;Nem igényel nyelvtudást;Szakmunka;
AWS Cloud Security Engineer;Profession Services;Otthonról végezhetõ;Mély mûszaki ismeretek a felhõinfrastruktúra területén: AWSAz internet és a számítógépes hálózatok (TCP/IP, TLS, VPN stb.) ismereteTapasztalat az infrastruktúra, mint kód (Cloudformation, Terraform) terén.Tapasztalat a verziókezelõ, build és hibakövetési rendszerekkel, például TeamCity, Jenkins, BitBucket, vagy Jira.Az AWS biztonsági szolgáltatásainak és a biztonságos termelési környezetet biztosító szolgáltatások jellemzõinek ismerete. (AWS IAM, Config, KMS, Secrets Manager, Cloudwatch, Cloudtrail)Kommunikációképes angol nyelvtudás;Angol középfok;Mérnök;
Szervíztechnikus-karbantartó;Kiddie Player Kft.;Országosan bárhonnan végezhetõ;Minimum középfokú végzettség, felsõfokû mérnõk vagy egyéb elõnyt jelent.Elektromûszerész, technikus, finom mechanikai szerelõ, villanyszerelõ vagy gépszerelõ végzettségB kategóriás jogosítvány és vezetési gyakorlatAngol nylev középfokú ismerete és aktív használataFelhasználói szintû számítógépes ismeretekMûszaki beállítottság, illetve pontos, precíz, lelkiismeretes munkavégzés;Angol alapfok;Szakmunka;Nettó 350e - 450e Ft havi bér
Forgácsoló mûvezetõ;DEBRECENI MECHANIKAI MÛVEK Kft.;4030 Debrecen, Híd utca 4.;Hagyományos és CNC forgácsolási technológia ismerete,Legalább 4 éves fémforgácsolási területen szerzett szakmai tapasztalatEgyedi gyártásban szerzett szakmai tapasztalatLegalább 3 éves vezetõi tapasztalatProaktivitás, jó szervezõkészség, kiváló kommunikációs készségMS Office felhasználói szintû ismeretVállalatirányítási rendszer ismeretCAD-CAM ismeret,;Nem igényel nyelvtudást;Gyártás;Nettó 130e - 400e Ft havi bér
CNC marós;DEBRECENI MECHANIKAI MÛVEK Kft.;4030 Debrecen, Híd utca 4.;Elvárások:- 2-3 év szakmai tapasztalat,- programozási ismeret (Siemens 840 D, Fanuc)- megfelelõ fizikai teherbírás,- a munkavégzésben pontosság, igényesség, szorgalom.;Nem igényel nyelvtudást;Szakmunka;
Diákmunka - HELPDESK MUNKATÁRS (Angol nyelven);MÛISZ Szolgáltató Iskolaszövetkezet;Debrecen;• Nappali tagozatos aktív vagy passzív hallgatói jogviszony • Heti minimum 24 óra vállalása• Heti legalább 4 alkalommal tudj dolgozni• Havi 2 db hétvégi munkanap vállalása• Havi néhány alkalommal 20:00 és 22:00 között is dolgozniElengedhetetlen:• Folyékony angol nyelvtudás• Kiváló kommunikációs készség szóban és írásban• Kitûnõ problémamegoldó képesség• Ügyfélközpontú gondolkodásmód• Rugalmasság és alkalmazkodó képességElõnyt jelent:• Második idegen nyelv ismeret• Tapasztalat ügyfélszolgálati munkában;Angol középfok;Ügyfélszolgálat; 
Diákmunka - Reservation Customer Service Agent;MÛISZ Szolgáltató Iskolaszövetkezet;Debrecen;• Full-time student status - active or passive• Minimum 24 hours / week• Minimum 4 days / week• Minimum 2 weekend days / month• Few shifts between 20:00 and 22:00Essential skills:• Fluent in written and verbal English• Excelent written and oral communication skills• Customer focused attitude• Effective organizing and problem solving skills• Flexibility and adaptibilityNon-essential skills:• Fluent in a second European language• Previous customer service experience;Angol középfok;Ügyfélszolgálat; 
Diákmunka - Irodai munka;MÛISZ Szolgáltató Iskolaszövetkezet;Debrecen;Nappali tagozatos aktív vagy passzív jogviszonyLegalább 18 éves korTársalgási szintû angol nyelvtudásHeti legalább 3 munkanap vállalása 8 órában;Angol középfok;Adminisztráció; 
Postai ügyintézõ;HAJDÚ-COOP Zrt.;Kokad, Nagykereki, Esztár, Kismarja, Nyírmártonfalva;ÉrettségiPrecíz, pontos munkavégzésSzámítógép felhasználói ismeretek (Microsoft Office, levelezõrendszerek);Nem igényel nyelvtudást;Szállítás;
