title,name,sector,language_req
"Készülékkezelő (K+F kísérleti üzem)",Teva,Fizikai,"Nem igényel nyelvtudást"
Gondozó,"Szent Matróna Görögkatolikus Ápoló-Gondozó Otthon",Szakmunka,"Nem igényel nyelvtudást"
"Tehergépjármű vezető","Lipóti Tóth és Társai Zrt.",Szakmunka,"Nem igényel nyelvtudást"
Segédmunkás,"Elektro-Lumen Kft",Fizikai,"Nem igényel nyelvtudást"
"Kommunikációs munkatárs","Új Média Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Csőhálózat szerelő","SZETT Kft.",Szakmunka,"Nem igényel nyelvtudást"
Anyagkezelő,"R.R. Donnelley Magyarország Kft.",Fizikai,"Nem igényel nyelvtudást"
"Gazdasági informatikus","NAGISZ Zrt."," ","Angol középfok"
"Fémipari betanított munkás","Oerlikon Eldim (HU) Kft."," ","Nem igényel nyelvtudást"
"Területi képviselő / Értékesítő","GarAgent-AH Kft.",Értékesítés,"Nem igényel nyelvtudást"
Szerviztechnikus,"STORKER Kft.",Szakmunka,"Angol középfok"
Asszisztens,"MYSTERY VISIT Piackutató és Tanácsadó Kft.",Adminisztráció,"Angol alapfok"
"Irodai asszisztens","AGROPOINT KFt.",Adminisztráció,"Nem igényel nyelvtudást"
"Barista - Debrecen"," "," ","Nem igényel nyelvtudást"
"Területi képviselő (Hajdú-Bihar/Szabolcs-Szatmár-Bereg)","Sweet-Line-98 Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Áruházi raktáros (Hajdúszoboszló)","EURONICS – Vöröskő Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Lottózói eladó (Debrecen)","Szerencsejáték Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Junior termékfejlesztő mérnök","Green Drops Farm Kft.",Gyártás,"Angol középfok"
"Ügyvezetői asszisztens","medixwell Korlátolt Felelősságű Társaság",Adminisztráció,"Nem igényel nyelvtudást"
"Gépi anyagmozgató","Trans-Sped Kft.",Fizikai,"Nem igényel nyelvtudást"
Ingatlanközvetítő,"OTP Ingatlanpont Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Diákmunka - Bútorpakolás","MŰISZ Szolgáltató Iskolaszövetkezet",Fizikai,"Magyar anyanyelvi szint"
Klímaszerelő-Hűtőgépszerelő,"Charlie Hűtő Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Csomagolási koordinátor","Nagyhegyesi TAKARMÁNY Kft.",Fizikai,"Nem igényel nyelvtudást"
Projektmenedzser,"UNISZOL-Létesítménygazdálkodási Zrt.",Mérnök,"Nem igényel nyelvtudást"
Mérlegkezelő-adminisztrátor,"A.K.S.D. Kft.",Adminisztráció,"Nem igényel nyelvtudást"
"Shop eladó és töltőállomás kezelő-Debrecen"," ",Szakmunka,"Nem igényel nyelvtudást"
"Irodai asszisztens német nyelvtudással",Főnix-Therm-Invest-Kft,Adminisztráció,"Német középfok"
"Export Sales Representative","Meditech Kft.",Értékesítés,"Angol felsőfok"
"Eladó a friss osztályon (Debrecen)","Auchan Retail Magyarország",Szakmunka,"Nem igényel nyelvtudást"
projektmenedzser,"UNISZOL-LÉTESÍTMÉNYGAZDÁLKODÁSI ZRT.",Építőipar,"Nem igényel nyelvtudást"
Gépkocsivezető,"NORKA TRANS Kft.",Szakmunka,"Nem igényel nyelvtudást"
"HR munkatárs (Debrecen)","OTP Bank Nyrt.",Adminisztráció,"Nem igényel nyelvtudást"
"Általános csomagoló gépkezelő","Joker-Karrier Iskolaszövetkezet",Szakmunka,"Nem igényel nyelvtudást"
"Sushi készítő - hidegkonyhai munkatárs","Kuzama Trade Kft",Fizikai,"Nem igényel nyelvtudást"
"Területi Értékesítési Képviselő","Lux Hungária Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Telefonos munkatárs","Lux Hungária Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Tehergépjármű vezető","Nagyhegyesi TAKARMÁNY Kft.",Szállítás,"Nem igényel nyelvtudást"
"Host/Hostess munkatárs","Benks-Hyper Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Pénzügyi tanácsadó munkatárs","Benks-Hyper Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Sales koordinátor","Melon HR Technology Kft.",Értékesítés,"Angol felsőfok"
"Üzemi Drazsírozó","FELFÖLDI Édességgyártó Kft",Fizikai,"Nem igényel nyelvtudást"
"Minőségbiztosítási mérnök","EMD Endoszkóp Műszer Gyártó és Kereskedelmi Kft.",Mérnök,"Angol középfok"
"Junior SAP/Atlassian tanácsadó, fejlesző","Lupus Consulting Zrt.","IT üzemeltetés","Angol középfok"
"Junior HR koordinátor","KITE Zrt.",Adminisztráció,"Nem igényel nyelvtudást"
Komissiózó,"Tesco Global Áruházak Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Mérnök üzletkötő","B & O Kft.",Értékesítés,"Angol középfok"
"Víz-, Gáz-, Fűtésszerelő, Villanyszerelő","HESZA-FIA Magyarország Kft.",Szakmunka,"Nem igényel nyelvtudást"
Eladó,"FIRSTPHONE KFT.",Szakmunka,"Nem igényel nyelvtudást"
"Élelmezési adminisztrátor (Debrecen)","Cívis Hungast Kft.",Adminisztráció,"Nem igényel nyelvtudást"
Raktáros,"OPUS TIGÁZ Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Főelosztó-hálózati szerelő/villanyszerelő:","MaxiContech Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Bérszámfejtő Munkatárs/Adminisztrátor (távmunka)","Process Solutions Kft.",Adminisztráció,"Angol középfok"
"Ingatlan tanácsadó és értékesítő","Multibridge Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Márkakereskedés (nagykereskedelmi értékesítés) német gyártói szemoptika termékekre ESCHENBACH OPTIK Magyarország egész régiójában"," ",Szakmunka,"Angol középfok"
"Szenior üzemmérnök","Richter Gedeon Nyrt."," ","Angol felsőfok"
"Csomagoló gépkezelő","Richter Gedeon Nyrt."," ","Nem igényel nyelvtudást"
"Üzemi laboráns","Richter Gedeon Nyrt."," ","Nem igényel nyelvtudást"
"Sterilező, előkészítő","Richter Gedeon Nyrt."," ","Nem igényel nyelvtudást"
"Üzemi takarító","Richter Gedeon Nyrt."," ","Nem igényel nyelvtudást"
Szaktanácsadó,"Timac Agro Hungária Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Back Office munkatárs"," ",Ügyfélszolgálat,"Nem igényel nyelvtudást"
Szakács,"GASZTRO SZOLGÁLTATÓ Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Telefonos behajtási ügyintéző","MVM Ügyfélkapcsolati Kft.",Pénzügy,"Nem igényel nyelvtudást"
"Retention Telefonos Munkatárs","Vodafone Magyarország Zrt.",Értékesítés,"Nem igényel nyelvtudást"
"TMK karbantartó / Gépbeállító lakatos","Global Green Europe Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Terméktervező mérnök/ termékfejlesztő mérnök","POLYDUCT Nyrt.",Mérnök,"Nem igényel nyelvtudást"
"Contact Center Agent / Ügyfélszolgálatos",Foodpanda,Ügyfélszolgálat,"Nem igényel nyelvtudást"
"Gyógyszergyártó gépkezelő","Richter Gedeon Nyrt."," ","Nem igényel nyelvtudást"
Manager,"GéSz Gaál és Sziklás Kft.",Pénzügy,"Nem igényel nyelvtudást"
"Németül és angolul beszélő diák Telefonkezelő"," ",Ügyfélszolgálat,"Angol középfok"
"Területi képviselő"," ",Értékesítés,"Nem igényel nyelvtudást"
"Üzemi operátor"," ",Gyártás,"Nem igényel nyelvtudást"
"Villanyszerelő (Debrecen, Balmazújváros, Hajdúszoboszló)","OPUS TITÁSZ Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Betanított fémipari operátorokat","Flexi Force Hungary Kft.",Gyártás,"Nem igényel nyelvtudást"
"Csomagolóanyag-vizsgáló laboráns",Teva,Gyártás,"Nem igényel nyelvtudást"
"Nyomdai kötészeti munkatárs","Sz.VARIÁNS Kft.",Fizikai,"Nem igényel nyelvtudást"
"Lakatos (WHC012110)"," ",Szakmunka,"Nem igényel nyelvtudást"
"Hegesztő (WHC012111)"," ",Szakmunka,"Nem igényel nyelvtudást"
"Raktáros (Debrecen)","Referencia Mosodák Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Betermelő gépkocsivezető","Agrifirm Magyarország Zrt.",Fizikai,"Nem igényel nyelvtudást"
"Call-Center Back Office Manager","UD youMED Nonprofit Kft.",Adminisztráció,"Angol alapfok"
Villanyszerelő,"FCS-VILL Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Késztermék-vizsgáló laboráns",Teva,Gyártás,"Nem igényel nyelvtudást"
"Hűtő-klíma és hőszivattyú szerelő munkatárs","Klíma-Futár Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Területi képviselő","NCH Hungary Kereskedelmi Kft.",Értékesítés,"Angol középfok"
"Üzletkötő munkatárs","Webeye Magyarország Kft.",Értékesítés,"Angol alapfok"
Ápoló,"FMC Dialízis Center Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Call Center Telefonos Munkatárs","Vodafone Magyarország Zrt.",Ügyfélszolgálat,"Nem igényel nyelvtudást"
"Ügyintéző angol nyelvtudással","Prim-Vol Trade Kft.",Értékesítés,"Angol felsőfok"
"Pénz- és értékszállító (Debrecen)","MPT Security Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Diákmunka - Termékfejlesztés Asszisztens","MŰISZ Szolgáltató Iskolaszövetkezet",Gyártás,"Angol középfok"
"Üzemeltetési technológiai mérnök"," ",Gyártás,"Nem igényel nyelvtudást"
Villanyszerelő,"Bramasole Építő Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Home Office Operátor","Pronto Phone Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Senior Java Backend Fejlesztő/Architekt - németes (GYS)"," ","IT Fejlesztés","Angol felsőfok"
"Targoncás - Raktári Munkás (Debrecen)","BHS Trans Kft.",Szakmunka,"Nem igényel nyelvtudást"
"CNC előkészítő","Manz Hungary Kft",Fizikai,"Nem igényel nyelvtudást"
"Értékcsomag kezelő (Debrecen)","MPT Security Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Area manager","Avanzo-Trade Kft.",Értékesítés,"Angol középfok"
"Csomagoló és árukiszedő","ELEKTRIKER MASTER Kft.",Fizikai,"Nem igényel nyelvtudást"
"Raktári munkatárs"," ",Szakmunka,"Nem igényel nyelvtudást"
Kommunikációs/Tartalommenedzser,"Aquaticum Debrecen Kft.",Marketing,"Angol középfok"
Festő-előkészítő,"Manz Hungary Kft",Fizikai,"Nem igényel nyelvtudást"
"Sourcing recruiter"," ",HR,"Angol felsőfok"
"Karbantartó munkatárs","NEPÁL SZERVIZ Épületfenntartó, Szervizelő, Karbantartó, Építő Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Call Center - Prémium biztosítás szakértő",AtlaszCall,Értékesítés,"Nem igényel nyelvtudást"
"Építésvezető mérnök","EVBAU Kft.",Mérnök,"Angol középfok"
"Kerékpár Sporttanácsadó (Debrecen)",Decathlon," ","Nem igényel nyelvtudást"
Raktáros,"MST Engineering Kft.",Fizikai,"Nem igényel nyelvtudást"
"Napelem szerelő","Green-Home Technologies Kft",Fizikai,"Nem igényel nyelvtudást"
Villanyszerelő,"TÓTH SOLAR Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Betanított operátor","Róna Dohányfeldolgozó Kft.",Fizikai,"Nem igényel nyelvtudást"
"Gépkocsi vezető","ERA-SPED Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Gyártásvezető operátor","Nagyhegyesi TAKARMÁNY Kft.",Gyártás,"Nem igényel nyelvtudást"
Épületkarbantartó,"HUNGAROTARG KFT.",Fizikai,"Nem igényel nyelvtudást"
"E-kategóriás gépkocsivezető","CHEVIGEN Kereskedelmi és Szolgáltató Korlátolt Felelosségu Társaság",Szakmunka,"Nem igényel nyelvtudást"
"Telefonbank és Bankkártya Ügyfélszolgálati Munkatárs - Siófok, Kecskemét, Szombathely, Zalaegerszeg, Debrecen","UniCredit Bank Zrt.",Ügyfélszolgálat,"Angol középfok"
"Területi képviselő/Üzletkötő"," ",Értékesítés,"Nem igényel nyelvtudást"
"Fuvarszervező speditőr","TT SPED Kft.",Szállítás,"Angol középfok"
Targoncavezető,"Nagyhegyesi TAKARMÁNY Kft.",Fizikai,"Nem igényel nyelvtudást"
"Pénztáros megváltozott munkaképességű (heti 20 óra - Debrecen)"," ",Szakmunka,"Nem igényel nyelvtudást"
Gondnok,"Kabinet FM Zrt.",Fizikai,"Nem igényel nyelvtudást"
Minőségellenőrzés,"ARMIN TRADE Kft.",Gyártás,"Nem igényel nyelvtudást"
Villanyszerelő,"NAT Hungária Villamos Szereléstechnikai Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Digitális marketing menedzser","Face Média Kft",Marketing,"Angol középfok"
"Napelempark szerkezetépítő","Energy-Factory Kft.",Fizikai,"Nem igényel nyelvtudást"
Raktáros,"DEBRECENI MECHANIKAI MŰVEK Kft.",Szakmunka,"Nem igényel nyelvtudást"
Karbantartó,"Fiorex Packaging Kft",Szakmunka,"Nem igényel nyelvtudást"
"Lottózói munkatárs","EPER FORTUNA Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Betanított munkás (szállásos munkalehetőség)"," ",Szakmunka,"Nem igényel nyelvtudást"
"Diákmunka - Kereskedelmi ügyintéző (Angol nyelvtudással)","MŰISZ Szolgáltató Iskolaszövetkezet",Értékesítés,"Angol középfok"
Gyógyszergyártó,Teva,Gyártás,"Nem igényel nyelvtudást"
"Csomagoló munkatárs",Teva,Szakmunka,"Nem igényel nyelvtudást"
"Univerzális tanácsadó (Hajdú-Bihar, Borsod vagy Szabolcs)","OTP Bank Nyrt.",Értékesítés,"Nem igényel nyelvtudást"
Gépkezelő,"Sz.VARIÁNS Kft.",Fizikai,"Nem igényel nyelvtudást"
"Univerzális tanácsadó (Nyíradonyi Fiók)","OTP Bank Nyrt.",Értékesítés,"Nem igényel nyelvtudást"
Gépjárművezető,"TRANZIT-1 KFT.",Szakmunka,"Nem igényel nyelvtudást"
"Megyei tisztifőorvos","Hajdú-Bihar Megyei Kormányhivatal",Egészségügy,"Nem igényel nyelvtudást"
"Betanított segédszerelő"," ",Szakmunka,"Nem igényel nyelvtudást"
"Univerzális tanácsadó (Debrecen)","OTP Bank Nyrt.",Bank,"Nem igényel nyelvtudást"
"Földmunkagép területi értékesítő (Debrecen, Nyíregyháza, Észak-Kelet Magyarország)","Navik Alfa Kft",Értékesítés,"Angol középfok"
"Szolgáltatás szervezési munkatárs","Volánbusz Közlekedési Zrt.",Adminisztráció,"Nem igényel nyelvtudást"
"Pénzügyi gyakornok - számlázási részleg","UNI Smart Iskolaszövetkezet",Pénzügy,"Angol középfok"
"Megváltozott munkaképességű takarító","EURONICS – Vöröskő Kft.",Fizikai,"Nem igényel nyelvtudást"
"Napelem telepítő","Villgép Energetika Kft.",Fizikai,"Nem igényel nyelvtudást"
"távértékesítési univerzális tanácsadó","K&H Bank Zrt.",Bank,"Angol középfok"
Vagyonőr,"GEWISS GUARD Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Ételkiszállító futár","Baptista Szeretetszolgálat Adományozási és Szociális Segítő Központ",Szakmunka,"Nem igényel nyelvtudást"
"Éttermi munkatárs"," ",Vendéglátás,"Nem igényel nyelvtudást"
"Egészségügyi asszisztens","Országos Vérellátó Szolgálat",Egészségügy,"Nem igényel nyelvtudást"
Diszpécser,"NAGÉV RÁCS Kft.",Ügyfélszolgálat,"Nem igényel nyelvtudást"
"Minőségellenőr kollégát","NAGÉV RÁCS Kft.",Gyártás,"Nem igényel nyelvtudást"
"Ifjúsági szervező","Filharmónia Magyarország Nonprofit Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Tejipari pasztőrös","Nádudvari Élelmiszer Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Betanított munkás","Csillagtér Kft",Szakmunka,"Nem igényel nyelvtudást"
"Frissáru pultos - Teljes munkaidő","Tesco Global Áruházak Zrt,",Szakmunka,"Nem igényel nyelvtudást"
"Létesítmény technikus - Teljes munkaidő","Tesco Global Áruházak Zrt.",Szakmunka,"Nem igényel nyelvtudást"
Takarító,"AZE Zero Hungary Korlátolt Felelősségű Társaság",Fizikai,"Nem igényel nyelvtudást"
Optika-eladó,"TR-Optika Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Konyhai kisegítő (Debrecen)","Cívis Hungast Kft.",Fizikai,"Nem igényel nyelvtudást"
"Rakodómunkás-sofőr (Debrecen)","Cívis Hungast Kft.",Fizikai,"Nem igényel nyelvtudást"
"Eladó, árufeltöltő (Debrecen és környéke)","HAJDÚ-COOP Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Dohánybolti eladó","Császár Trafik Bt.",Szakmunka,"Nem igényel nyelvtudást"
Raktáros,"CSOKI MAX MAGYARORSZÁG Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Nyilvános illemhely takarító","AGRÁRIUS KFT",Fizikai,"Nem igényel nyelvtudást"
"Raktári dolgozó","SWEET-LINE-98 Kft.",Fizikai,"Nem igényel nyelvtudást"
"Kerékpáros kézbesítő (Konyár)"," ",Fizikai,"Nem igényel nyelvtudást"
"Műszerész / szerviztechnikus / karbantartó","Pannon Kávé Kft.",Szakmunka,"Nem igényel nyelvtudást"
Raktáros," ",Fizikai,"Nem igényel nyelvtudást"
Tehergépjárművezető,"WEST-START Kft.",Szakmunka,"Nem igényel nyelvtudást"
Villanyszerelő,"ANVIT Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Sofőr (Havi 902.000 Ft-tól felfelé)","Munkaerotoborzo.hu Magyarország Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Gépkocsis kézbesítő (Berekböszörmény)"," ",Fizikai,"Nem igényel nyelvtudást"
"Parkfelügyelő - karbantartó","Nagyerdei Kultúrpark Nonprofit Kft.",Szakmunka,"Nem igényel nyelvtudást"
Darukezelő,"D.E.E.T. Kft.",Fizikai,"Nem igényel nyelvtudást"
"Kiszállító Debrecen","SZAKÁL-MET-AL Zrt.",Szakmunka,"Nem igényel nyelvtudást"
Raktáros,"WYXABO KFT.",Szakmunka,"Nem igényel nyelvtudást"
Vagyonőr,"BLOC QUEST Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Mechanikus szerelő / összeszerelő (Debrecen)","Silverkolt-Job Solution Kft.",Fizikai,"Nem igényel nyelvtudást"
"Raktáros, anyagbeszerző","KORRTECH KFT.",Szakmunka,"Nem igényel nyelvtudást"
Villanyszerelő,"Building Controll 2020 Kft.",Szakmunka,"Nem igényel nyelvtudást"
